optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 6, 11, 12, 14, 7, 20, 13, 1}",3.967801,"{1, 16, 4, 20, 3, 18, 5, 8, 10, 19, 15, 9, 17, 12, 2, 14, 6, 11, 7, 13, 1}",4.701215,0.184841,0.000183
"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 13, 16, 4, 12, 3, 1}",3.466249,"{1, 16, 13, 14, 20, 9, 12, 17, 18, 7, 2, 10, 5, 15, 6, 11, 19, 3, 4, 8, 1}",3.758488,0.084310,0.000186
"{1, 12, 18, 4, 20, 5, 2, 9, 15, 10, 13, 17, 19, 11, 8, 7, 3, 14, 6, 16, 1}",4.795065,"{1, 9, 15, 2, 18, 4, 20, 5, 11, 19, 13, 10, 17, 14, 6, 3, 7, 8, 12, 16, 1}",5.608923,0.169728,0.000182
"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,"{1, 15, 14, 13, 19, 10, 3, 8, 6, 11, 7, 2, 20, 18, 17, 16, 9, 12, 4, 5, 1}",4.102096,0.182453,0.000177
"{1, 12, 14, 7, 5, 8, 10, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 13, 1}",3.482816,"{1, 13, 14, 10, 8, 5, 7, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 12, 1}",3.863795,0.109388,0.000180
"{1, 5, 17, 20, 10, 7, 8, 6, 9, 18, 15, 11, 4, 12, 3, 14, 19, 13, 16, 2, 1}",3.536839,"{1, 8, 6, 5, 17, 20, 10, 7, 9, 11, 15, 18, 4, 12, 16, 14, 3, 19, 13, 2, 1}",4.233399,0.196944,0.000177
"{1, 18, 14, 16, 9, 8, 4, 13, 20, 12, 3, 17, 5, 7, 11, 6, 10, 19, 2, 15, 1}",3.943122,"{1, 15, 2, 19, 16, 10, 6, 3, 5, 17, 7, 11, 12, 20, 13, 4, 8, 9, 14, 18, 1}",4.391586,0.113733,0.000193
"{1, 2, 17, 3, 7, 6, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 12, 11, 19, 5, 1}",3.248978,"{1, 2, 17, 3, 7, 16, 8, 6, 14, 4, 9, 20, 13, 15, 18, 10, 12, 11, 19, 5, 1}",3.317255,0.021015,0.000175
"{1, 20, 2, 19, 15, 10, 13, 18, 4, 16, 9, 14, 11, 7, 8, 12, 3, 17, 5, 6, 1}",3.764408,"{1, 20, 18, 4, 16, 13, 9, 10, 15, 19, 2, 14, 11, 7, 8, 12, 3, 17, 5, 6, 1}",4.466684,0.186557,0.000179
"{1, 20, 18, 16, 3, 11, 13, 7, 5, 6, 15, 19, 2, 17, 9, 12, 8, 10, 14, 4, 1}",3.301753,"{1, 20, 18, 16, 3, 11, 7, 6, 5, 13, 12, 9, 2, 19, 15, 17, 8, 10, 14, 4, 1}",3.865010,0.170593,0.000180
"{1, 15, 8, 6, 12, 3, 17, 19, 18, 4, 20, 11, 10, 14, 5, 2, 7, 16, 13, 9, 1}",3.646290,"{1, 15, 3, 17, 19, 18, 4, 20, 11, 10, 14, 7, 5, 2, 16, 12, 6, 8, 13, 9, 1}",4.499038,0.233867,0.000180
"{1, 4, 19, 6, 15, 2, 18, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 7, 1}",3.703065,"{1, 6, 15, 2, 18, 16, 17, 10, 12, 3, 20, 9, 8, 14, 13, 11, 19, 4, 7, 5, 1}",4.821959,0.302154,0.000190
"{1, 3, 13, 8, 20, 19, 18, 6, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.403824,"{1, 8, 20, 13, 3, 14, 7, 15, 9, 4, 6, 18, 19, 17, 11, 10, 12, 2, 16, 5, 1}",4.153869,0.220354,0.000186
