optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 24, 23, 29, 30, 21, 6, 26, 4, 22, 9, 7, 3, 5, 16, 8, 12, 10, 17, 13, 18, 14, 27, 20, 15, 25, 2, 11, 28, 19, 1}",4.084283,"{1, 23, 29, 30, 24, 20, 27, 15, 14, 25, 2, 13, 18, 6, 21, 26, 4, 22, 9, 7, 3, 5, 16, 8, 12, 10, 17, 11, 28, 19, 1}",4.806561,0.176843,0.000266
"{1, 8, 18, 16, 2, 11, 12, 27, 23, 22, 5, 17, 29, 26, 14, 15, 7, 30, 19, 28, 10, 3, 20, 6, 25, 24, 4, 21, 13, 9, 1}",5.373356,"{1, 9, 13, 21, 4, 6, 25, 20, 3, 10, 28, 19, 14, 30, 7, 15, 24, 18, 16, 2, 11, 12, 27, 5, 17, 22, 23, 29, 26, 8, 1}",6.494759,0.208697,0.000259
"{1, 12, 17, 15, 4, 23, 27, 20, 13, 3, 14, 16, 21, 22, 29, 19, 26, 25, 24, 2, 7, 6, 9, 18, 8, 5, 10, 11, 28, 30, 1}",4.703946,"{1, 12, 27, 20, 29, 19, 26, 2, 24, 25, 22, 14, 3, 16, 21, 13, 23, 4, 15, 17, 10, 5, 8, 18, 9, 7, 6, 28, 11, 30, 1}",5.331236,0.133354,0.000258
"{1, 28, 25, 7, 15, 16, 3, 26, 30, 27, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 18, 8, 4, 13, 22, 17, 20, 23, 6, 1}",4.257430,"{1, 28, 14, 29, 2, 24, 21, 11, 27, 30, 26, 3, 16, 15, 7, 25, 17, 22, 13, 4, 8, 12, 5, 9, 10, 19, 18, 20, 23, 6, 1}",5.039592,0.183717,0.000258
"{1, 30, 8, 18, 28, 17, 7, 23, 26, 24, 5, 27, 13, 15, 10, 12, 9, 3, 21, 11, 16, 6, 25, 20, 29, 22, 19, 2, 14, 4, 1}",4.408784,"{1, 4, 14, 30, 8, 19, 22, 29, 2, 11, 21, 16, 6, 25, 20, 3, 9, 12, 10, 15, 13, 27, 5, 24, 7, 23, 26, 18, 17, 28, 1}",4.901584,0.111777,0.000262
"{1, 6, 4, 19, 28, 10, 5, 12, 9, 24, 20, 27, 8, 2, 30, 18, 11, 13, 15, 29, 16, 14, 26, 17, 3, 23, 7, 25, 21, 22, 1}",4.805601,"{1, 22, 21, 25, 7, 16, 14, 23, 3, 17, 26, 13, 15, 29, 11, 18, 2, 30, 8, 27, 10, 20, 24, 9, 12, 5, 28, 19, 4, 6, 1}",5.188195,0.079614,0.000258
"{1, 15, 20, 8, 5, 29, 3, 7, 21, 2, 26, 14, 12, 19, 25, 22, 10, 4, 18, 16, 30, 28, 13, 9, 11, 27, 17, 6, 24, 23, 1}",4.645895,"{1, 15, 20, 17, 6, 4, 18, 16, 30, 28, 13, 9, 11, 27, 8, 5, 29, 3, 7, 21, 22, 10, 19, 12, 25, 14, 2, 26, 23, 24, 1}",5.325326,0.146243,0.000264
"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 15, 8, 1}",4.538300,"{1, 16, 25, 5, 19, 12, 20, 4, 23, 28, 27, 30, 10, 21, 7, 18, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 15, 8, 1}",5.720892,0.260580,0.000269
"{1, 21, 11, 27, 10, 13, 30, 23, 24, 19, 29, 17, 7, 15, 3, 20, 28, 26, 5, 6, 14, 2, 8, 22, 9, 4, 12, 18, 25, 16, 1}",4.395518,"{1, 16, 9, 14, 2, 6, 5, 8, 22, 4, 25, 18, 12, 26, 28, 20, 15, 3, 7, 17, 29, 19, 24, 23, 30, 11, 27, 13, 10, 21, 1}",4.869844,0.107911,0.000255
"{1, 16, 22, 18, 14, 5, 27, 17, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 10, 30, 26, 19, 23, 1}",4.212930,"{1, 16, 22, 18, 14, 17, 27, 5, 10, 30, 7, 28, 25, 12, 11, 8, 3, 6, 2, 21, 4, 24, 29, 15, 20, 13, 9, 26, 23, 19, 1}",4.960622,0.177475,0.000261
"{1, 16, 26, 18, 20, 27, 23, 7, 17, 4, 5, 30, 29, 13, 21, 14, 24, 8, 22, 2, 6, 28, 19, 3, 11, 15, 25, 10, 12, 9, 1}",4.923536,"{1, 16, 9, 12, 15, 25, 10, 28, 6, 19, 3, 11, 14, 24, 8, 22, 21, 13, 29, 30, 5, 4, 17, 2, 7, 20, 27, 23, 26, 18, 1}",5.399293,0.096629,0.000253
"{1, 4, 12, 17, 23, 3, 16, 22, 30, 18, 2, 15, 19, 14, 8, 5, 27, 21, 29, 20, 11, 13, 28, 24, 7, 9, 25, 26, 10, 6, 1}",4.352213,"{1, 4, 12, 17, 8, 14, 19, 5, 27, 29, 21, 20, 11, 13, 9, 25, 28, 7, 24, 15, 2, 18, 30, 22, 16, 3, 23, 6, 10, 26, 1}",4.874049,0.119901,0.000259
"{1, 3, 14, 2, 18, 28, 16, 22, 25, 9, 4, 27, 26, 20, 13, 23, 30, 12, 21, 10, 19, 29, 5, 11, 6, 15, 24, 7, 8, 17, 1}",4.442610,"{1, 17, 8, 7, 24, 15, 6, 11, 5, 29, 19, 10, 21, 12, 30, 23, 13, 20, 26, 27, 4, 9, 25, 22, 16, 28, 18, 2, 14, 3, 1}",4.442610,0.000000,0.000253
"{1, 4, 16, 2, 10, 11, 18, 28, 15, 20, 27, 5, 17, 8, 6, 19, 24, 21, 13, 22, 12, 26, 9, 14, 23, 30, 3, 7, 29, 25, 1}",4.338206,"{1, 25, 2, 10, 11, 3, 7, 29, 30, 23, 9, 14, 24, 21, 13, 26, 22, 12, 6, 19, 8, 17, 5, 27, 20, 15, 28, 18, 16, 4, 1}",5.009643,0.154773,0.000263
"{1, 13, 20, 4, 19, 27, 17, 28, 14, 9, 16, 25, 12, 2, 10, 26, 11, 7, 6, 15, 3, 8, 30, 21, 18, 23, 5, 29, 24, 22, 1}",4.790635,"{1, 29, 24, 6, 15, 3, 5, 23, 21, 30, 8, 7, 11, 26, 10, 2, 12, 25, 16, 9, 14, 28, 17, 27, 19, 20, 13, 4, 18, 22, 1}",5.508426,0.149832,0.000253
"{1, 10, 16, 6, 3, 20, 8, 12, 5, 26, 19, 17, 13, 27, 30, 15, 29, 21, 14, 9, 25, 18, 24, 7, 22, 4, 23, 11, 28, 2, 1}",4.021061,"{1, 10, 20, 3, 6, 16, 4, 22, 7, 24, 25, 18, 9, 14, 30, 27, 15, 29, 21, 13, 17, 19, 26, 12, 5, 8, 11, 23, 2, 28, 1}",4.482033,0.114639,0.000257
"{1, 27, 28, 13, 16, 14, 25, 6, 30, 11, 10, 20, 23, 24, 19, 26, 15, 8, 18, 22, 2, 12, 3, 9, 7, 4, 17, 21, 29, 5, 1}",4.709912,"{1, 5, 18, 19, 24, 23, 20, 10, 14, 16, 27, 28, 13, 25, 6, 30, 11, 15, 26, 8, 12, 3, 9, 7, 4, 17, 2, 22, 21, 29, 1}",5.520085,0.172014,0.000258
"{1, 27, 6, 23, 11, 14, 4, 18, 22, 5, 7, 30, 24, 26, 17, 13, 21, 3, 28, 9, 8, 16, 25, 19, 15, 2, 20, 12, 29, 10, 1}",4.288992,"{1, 27, 6, 23, 11, 14, 4, 18, 22, 5, 7, 30, 24, 26, 17, 13, 21, 3, 9, 28, 8, 16, 25, 19, 15, 2, 20, 12, 10, 29, 1}",4.371261,0.019181,0.000256
