optimal_tour,optimal_tour_length,3opt_tour,3opt_tour_length,score,time
"{1, 17, 20, 5, 16, 27, 7, 19, 24, 14, 11, 4, 29, 28, 3, 22, 26, 18, 2, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 1}",4.661201,"{1, 17, 5, 16, 27, 7, 19, 24, 14, 11, 4, 26, 29, 28, 3, 22, 2, 18, 8, 6, 30, 23, 9, 12, 10, 15, 13, 21, 25, 20, 1}",4.710332,0.010540,0.429740
"{1, 26, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 24, 18, 7, 3, 10, 6, 30, 25, 23, 16, 2, 14, 4, 17, 5, 1}",4.771209,"{1, 26, 20, 15, 11, 13, 21, 27, 8, 12, 22, 29, 19, 28, 9, 24, 18, 7, 3, 10, 6, 30, 25, 23, 16, 2, 14, 4, 17, 5, 1}",4.771209,0.000000,0.849427
"{1, 24, 23, 29, 30, 21, 6, 26, 4, 22, 9, 7, 3, 5, 16, 8, 12, 10, 17, 13, 18, 14, 27, 20, 15, 25, 2, 11, 28, 19, 1}",4.084283,"{1, 29, 23, 30, 21, 6, 26, 19, 28, 4, 22, 9, 7, 3, 5, 16, 8, 12, 10, 17, 11, 2, 25, 13, 18, 14, 15, 27, 20, 24, 1}",4.297980,0.052322,0.850619
"{1, 8, 18, 16, 2, 11, 12, 27, 23, 22, 5, 17, 29, 26, 14, 15, 7, 30, 19, 28, 10, 3, 20, 6, 25, 24, 4, 21, 13, 9, 1}",5.373356,"{1, 9, 13, 21, 4, 24, 25, 20, 3, 10, 28, 19, 14, 30, 7, 15, 29, 17, 5, 22, 23, 27, 12, 11, 2, 16, 18, 8, 26, 6, 1}",5.572926,0.037141,0.853234
"{1, 12, 17, 15, 4, 23, 27, 20, 13, 3, 14, 16, 21, 22, 29, 19, 26, 25, 24, 2, 7, 6, 9, 18, 8, 5, 10, 11, 28, 30, 1}",4.703946,"{1, 12, 17, 15, 5, 10, 8, 18, 9, 24, 25, 16, 3, 14, 4, 23, 27, 20, 13, 21, 22, 29, 19, 26, 2, 7, 6, 28, 11, 30, 1}",4.770989,0.014253,0.425333
"{1, 28, 25, 7, 15, 16, 3, 26, 30, 27, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 18, 8, 4, 13, 22, 17, 20, 23, 6, 1}",4.257430,"{1, 28, 25, 7, 15, 16, 3, 26, 30, 27, 14, 29, 2, 24, 11, 21, 12, 5, 9, 10, 19, 18, 8, 4, 13, 22, 17, 20, 23, 6, 1}",4.257430,0.000000,0.634666
"{1, 30, 8, 18, 28, 17, 7, 23, 26, 24, 5, 27, 13, 15, 10, 12, 9, 3, 21, 11, 16, 6, 25, 20, 29, 22, 19, 2, 14, 4, 1}",4.408784,"{1, 4, 14, 30, 2, 19, 22, 29, 20, 25, 6, 16, 11, 21, 3, 9, 12, 10, 15, 13, 27, 5, 24, 26, 23, 7, 17, 28, 18, 8, 1}",4.449834,0.009311,1.068836
"{1, 6, 4, 19, 28, 10, 5, 12, 9, 24, 20, 27, 8, 2, 30, 18, 11, 13, 15, 29, 16, 14, 26, 17, 3, 23, 7, 25, 21, 22, 1}",4.805601,"{1, 22, 21, 25, 7, 23, 14, 16, 3, 17, 26, 13, 15, 29, 11, 18, 30, 2, 8, 27, 20, 24, 9, 12, 5, 10, 28, 19, 4, 6, 1}",4.826514,0.004352,0.427259
"{1, 15, 20, 8, 5, 29, 3, 7, 21, 2, 26, 14, 12, 19, 25, 22, 10, 4, 18, 16, 30, 28, 13, 9, 11, 27, 17, 6, 24, 23, 1}",4.645895,"{1, 15, 20, 8, 5, 29, 3, 7, 21, 2, 26, 14, 12, 19, 25, 22, 10, 4, 18, 16, 30, 28, 13, 9, 11, 27, 17, 6, 24, 23, 1}",4.645895,0.000000,0.425319
"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 15, 8, 1}",4.538300,"{1, 16, 25, 6, 9, 17, 26, 24, 2, 14, 3, 13, 22, 29, 11, 4, 20, 12, 10, 30, 18, 7, 21, 27, 28, 23, 19, 5, 15, 8, 1}",4.538300,0.000000,0.431833
